"Charge";"Formula";"Mass Diff";"Name";"Type"
"1;1";"null;null";"-5.4858E-4;-5.4858E-4";"e;e";"ADDUCT;ADDUCT"
"-1;1;1";"H;Na;Na";"-1.007276;22.989218;22.989218";"H;Na;Na";"ADDUCT;ADDUCT;ADDUCT"
"-1";;"0.0";"e";"ADDUCT"
"0;1";"H2O;null";"-18.010565;-5.4858E-4";"H2O;e";"NEUTRAL_LOSS;ADDUCT"
"1";"K";"38.963158";"K";"ADDUCT"
"2";"Mg";"47.96953482";"Mg";"ADDUCT"
"-1";"Cl";"34.969401";"Cl";"ADDUCT"
"1";"Na";"22.989218";"Na";"ADDUCT"
"-1";"HCO2";"44.99820285";"FA";"ADDUCT"
"1;0;0";"H;H2O;H2O";"1.007276;-18.010565;-18.010565";"H;H2O;H2O";"ADDUCT;NEUTRAL_LOSS;NEUTRAL_LOSS"
"1;0;0;0";"H;H2O;H2O;H2O";"1.007276;-18.010565;-18.010565;-18.010565";"H;H2O;H2O;H2O";"ADDUCT;NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS"
"-1;2";"H;Mg";"-1.007276;47.96953482";"H;Mg";"ADDUCT;ADDUCT"
"1";"NH4";"18.033823";"NH4";"ADDUCT"
"-1";"C2H3O2";"59.013304";"Acetate";"ADDUCT"
"0";"H2O";"-18.010565";"H2O";"NEUTRAL_LOSS"
"2;-1";"Fe;H";"55.93384;-1.007276";"Fe;H";"ADDUCT;ADDUCT"
"1;1";"H;NH4";"1.007276;18.033823";"H;NH4";"ADDUCT;ADDUCT"
"2;-1";"Ca;H";"39.96149382;-1.007276";"Ca;H";"ADDUCT;ADDUCT"
"1;1";"H;H";"1.007276;1.007276";"H;H";"ADDUCT;ADDUCT"
"-1;-1;1";"H;H;Na";"-1.007276;-1.007276;22.989218";"H;H;Na";"ADDUCT;ADDUCT;ADDUCT"
"-1";"Br";"78.918886";"Br";"ADDUCT"
"1;1";"H;K";"1.007276;38.963158";"H;K";"ADDUCT;ADDUCT"
"1";;"-5.4858E-4";"e";"ADDUCT"
"1;1";"H;Na";"1.007276;22.989218";"H;Na";"ADDUCT;ADDUCT"
"2";"Fe";"55.93384";"Fe";"ADDUCT"
"-1";;"5.4858E-4";"e";"ADDUCT"
"2";"Ca";"39.96149382";"Ca";"ADDUCT"
"1;0";"H;H2O";"1.007276;-18.010565";"H;H2O";"ADDUCT;NEUTRAL_LOSS"
"1";"H";"1.007276";"H";"ADDUCT"
"-1";"H";"-1.007276";"H";"ADDUCT"
"1";;"0.0";"e";"ADDUCT"
