neutral_mass	formula	name
126.104465	C8H15O	Octanoate (protein bound)
240.023852	C6H12N2O4S2	L Cystine C6H12N2O4S2
169.998028	C3H5O6P	Dihydroxyacetone phosphate
719.004347	C15H19N5O20P4	1-(5-Phosphoribosyl)-ATP
473.165898	C20H21N7O7	10-Formyltetrahydrofolate
72.057515	C4H8O	Butanal C4H8O
422.082548	C12H21O14P	"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose"
146.021525	C5H4O5	2-Oxoglutarate
283.09167	C10H13N5O5	Guanosine
247.024577	C8H8NO6P	Pyridoxal 5'-phosphate
274.008988	C6H8O10P	3-keto-L-gulonate-6-phosphate
259.045707	C6H13NO8P	Glycerophosphoserine
619.092811	C17H25N5O16P2	ADP-L-glycero-D-manno-heptose
150.052825	C5H10O5	L-Lyxose
252.085856	C10H12N4O4	Deoxyinosine
185.992943	C3H4O7P	D-Glycerate 2-phosphate
88.100048	C4H14N2	Putrescine
342.116215	C12H22O11	Maltose C12H22O11
150.06808	C9H9O2	Phenylpropanoate
564.227891	C22H33N4O13	Aerobactin minus Fe3
2893.492512	C131H231N2O60P3	Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
2973.458845	C131H230N2O63P4	Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
265.959276	C3H4O10P2	3-Phospho-D-glyceroyl phosphate
1753.715307	C71H107N13O38	"Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
152.047345	C8H8O3	"3,4-Dihydroxyphenylacetaldehyde"
436.258993	C21H39O7P1	1-octadec-11-enoyl-sn-glycerol 3-phosphate
620.537975	C39H72O5	"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)"
478.179878	C19H29N2O12	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid
559.071681	C15H19N5O14P2	1-(5-Phosphoribosyl)-AMP
153.993597	C3H5O5S	Sulpholactaldehyde
990.327515	C36H62O31	"1,4-alpha-D-glucan"
314.068431	C10H17O7P2	Geranyl diphosphate
376.138286	C17H20N4O6	Riboflavin C17H20N4O6
62.019022	C2H6S	Dimethyl sulfide
742.382221	C34H61O13P2	"Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)"
313.067505	C8H15N3O8P	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine
260.029723	C6H11O9P	D-Fructose 1-phosphate
119.058244	C4H9NO3	L-Threonine
227.090607	C9H13N3O4	Deoxycytidine
178.04774	C6H9O6	2-Dehydro-3-deoxy-D-gluconate
116.01096	C4H2O4	Fumarate
196.058305	C6H11O7	L-Galactonate
244.088165	C10H15N2O3S	Biotin
169.073894	C8H11NO3	Pyridoxine
282.25588	C18H33O2	Octadecenoate (n-C18:1)
175.04941	C7H5N5O	7-cyano-7-carbaguanine
181.073894	C9H11NO3	L-Tyrosine
546.065199	C16H22N2O15P2	DTDP-4-dehydro-6-deoxy-D-glucose
293.111069	C11H18NO8	N-Acetylmuramate
180.06339	C6H12O6	D-Mannose
1578.658351	C72H100CoN18O17P	Adenosylcobalamin
388.124686	C12H24N2O10P	Fructoselysine Phosphate
308.040956	C9H11N2O8P	DUMP C9H11N2O8P
612.231913	C31H36N2O11	Novobiocin
722.055686	C30H27FeN3O15	Fe-enterobactin
3355.521719	C151H234N12O67P2	(enterobacterial common antigen)x4 undecaprenyl-diphosphate
232.105923	C9H15O5N2	Gamma-glutamyl-gamma aminobutyric acid
648.473008	C35H67O8P1	"1,2-dihexadecanoyl-sn-glycerol 3-phosphate"
342.116215	C12H22O11	Lactose C12H22O11
949.482998	C44H75N3O15P2	"CDP-1,2-dihexadec-9-enoylglycerol"
172.084793	C7H12N2O3	L-Prolinylglycine
1019.324149	C37H60N7O18P3S	3-Oxohexadecanoyl-CoA
1344.909631	C73H132O17P2	"Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)"
354.180743	C15H29O7P1	1-dodecanoyl-sn-glycerol 3-phosphate
146.069143	C5H10N2O3	L-Glutamine
768.390539	C35H52N6O13	Coprogen unloaded (no Fe(III))
342.116215	C12H22O11	Trehalose
90.031695	C3H6O3	D-Glyceraldehyde
160.084793	C6H12N2O3	D-Alanyl-D-alanine
246.050458	C6H14O8P	Glycerophosphoglycerol
467.938892	C6H11O16P4	?-D-ribose-1-methylphosphonate-5-triphosphate
547.179181	C19H29N7O10P	GMP-N-?-(N-?-acetyl lysine methyl ester) 5'-phosphoramidate
230.019158	C5H9O8P	Alpha-D-Ribose 5-phosphate
1128.721831	C57H108O17P2	"Cardiolipin (tetradodecanoyl, n-C12:0)"
196.058305	C6H11O7	L-Idonate
58.982971	CNS	Thiocyanate
870.598603	C48H86O11P	Acyl phosphatidylglycerol (n-C14:1)
60.02113	C2H3O2	Acetate
172.14633	C10H19O2	Decanoate (n-C10:0)
616.177295	C34H30FeN4O4	Protoheme C34H30FeN4O4
175.095692	C6H13N3O3	L-Citrulline
1049.371099	C39H66N7O18P3S	(S)-3-Hydroxyoctadecanoyl-CoA
180.06339	C6H12O6	D-Allose
176.03209	C6H7O6	"2,5-Diketo-3-deoxy-D-gluconate"
424.169313	C16H28N2O11	"N,N'-diacetylchitobiose"
180.04226	C9H7O4	3-(4-Hydroxyphenyl)pyruvate
516.34509	C31H48O5	Fusidic acid
208.058305	C7H11O7	1-O-methyl-Beta-D-glucuronate
260.029723	C6H11O9P	D-Glucose 1-phosphate
228.074623	C9H12N2O5	Deoxyuridine
926.631831	C55H89O7P2	Undecaprenyl diphosphate
167.982378	C3H2O6P	Phosphoenolpyruvate
89.047679	C3H7NO2	Beta-Alanine
588.379108	C31H55O8P1	"1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate"
841.389098	C36H63N3O15P2	"CDP-1,2-didodecanoylglycerol"
150.052825	C5H10O5	D-Ribose
260.029723	C6H11O9P	D-Tagatose 6-phosphate
214.024243	C5H9O7P	2-Deoxy-D-ribose 1-phosphate
307.083809	C10H16N3O6S	Reduced glutathione
635.452607	C33H66N1O8P1	"Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)"
428.217523	C18H36O9P1	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)
182.05791	C9H9O4	"3-(2,3-Dihydroxyphenyl)propanoate"
382.212043	C17H34O7P1	2-tetradecanoyl-sn-glycerol 3-phosphate
89.047679	C3H7NO2	L-Alanine
260.029723	C6H11O9P	D-Glucose 6-phosphate
438.274643	C21H42O7P1	2-octadecanoyl-sn-glycerol 3-phosphate
254.22458	C16H29O2	Hexadecenoate (n-C16:1)
1003.329234	C37H60N7O17P3S	Hexadecenoyl-CoA (n-C16:1CoA)
139.987463	C2H3O5P	Acetyl phosphate
155.982378	C2H2O6P	2-Phosphoglycolate
7689.075046	C312H523N6O200P4	(O16 antigen)x4 core oligosaccharide lipid A
301.056272	C8H14NO9P	N-Acetyl-D-glucosamine 6-phosphate
257.102827	C8H20NO6P	Sn-Glycero-3-phosphocholine
425.044974	C12H16N4O7P2S	Thiamine diphosphate
146.084398	C9H10N2	"5,6-Dimethylbenzimidazole"
117.078979	C5H11NO2	L-Valine
523.974685	C10H11N4O15P3	XTP
1088.684656	C61H100O12P2	Undecaprenol-diphosphate-glucose
95.997633	CH4O3P	Methylphosphonic acid
81.981983	HO3P	Phosphonate
88.016045	C3H3O3	Pyruvate
179.058244	C9H8NO3	N-Acetylanthranilate
222.06743	C7H14N2O4S	L-Cystathionine
63.961902	O2S	Sulfur dioxide
121.089149	C8H12N	Phenethylamine
95.988117	CH3O3S	Methanesulfonate
467.973622	C9H11N2O14P3	DUTP C9H11N2O14P3
1984.837214	C80H124N16O42	"Two linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)"
326.122636	C13H18N4O6	"6,7-Dimethyl-8-(1-D-ribityl)lumazine"
358.096363	C11H21N2O7PS	Pantetheine 4'-phosphate
700.504308	C39H71O8P1	"1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate"
199.024577	C4H8NO6P	L-Threonine O-3-phosphate
510.295773	C24H46O9P1	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
559.071681	C15H21N5O14P2	ADPribose C15H21N5O14P2
144.11503	C8H15O2	Octanoate (n-C8:0)
167.021859	C7H3NO4	Quinolinate
975.297934	C35H56N7O17P3S	Tetradecenoyl-CoA (n-C14:1CoA)
438.274643	C21H41O7P1	1-octadecanoyl-sn-glycerol 3-phosphate
134.05791	C5H10O4	1-deoxy-D-xylulose
132.04226	C5H8O4	"4,5-dihydroxy-2,3-pentanedione"
126.042928	C5H6N2O2	Thymine C5H6N2O2
218.090273	C8H13N2O5	L-alanine-L-glutamate
867.939346	C20H22N10O15P2S2Mo	Molybdopterin guanine dinucleotide
2237.336009	C110H196N2O39P2	KDO(2)-lipid (A)
150.052825	C5H10O5	"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
916.210175	C42H36FeN4O16	Siroheme C42H36FeN4O16
165.045966	C5H11NO3S	L-methionine-R-sulfoxide
985.939179	C20H20N10O13P2S4W	Tungsten bispterin cofactor
256.24023	C16H31O2	Hexadecanoate (n-C16:0)
180.06339	C6H12O6	D-Fructose
260.029723	C6H11O9P	Alpha-D-Galactose 1-phosphate
215.055877	C5H14NO6P	Sn-Glycero-3-phosphoethanolamine
332.052189	C10H11N4O7P	DIMP C10H12N4O7P
172.013678	C3H7O6P	Glycerol 3-phosphate
143.094629	C7H13NO2	Crotonobetaine
649.28065	C26H41N5O14	"1,6-anhydrous-N-Acetylmuramyl-tripeptide"
146.05791	C6H9O4	(S)-2-Aceto-2-hydroxybutanoate
